id	mission_time	comms	speaker
27236	190712	Apollo 11, this is Houston. Go ahead.	CC
27237	190718	Roger. You copy my NOUN 93?	CMP
27238	190723	That's affirmative. We've got it.	CC
27239	190728	Okay. I am going to go ahead and thrust then. Triangle difference is 0.01, but it's sort of difficult at three-tenths rate. I'm required to use medium speed unresolved, and it's difficult to hold the star centered long enough to get a decent mark on it.	CMP
27240	190755	Roger. We copy. It looks okay to us.	CC
27241	190762	Roger.	CMP
27242	193896	Apollo 11, this is Houston. Over.	CC
27243	193902	Go ahead, Houston.	CMP
27244	193905	Roger. I've got the morning news here if you're interested. Over.	CC
27245	193911	Yes, we sure are. We're ready to copy and comment. Isn't that 2:30 there?	CMP
27246	193917	Roger.	CC
27247	193922	Okay. Go.	CDR
27248	193923	Okay. Here we go. The interest in the Flight of Apollo 11 continues at a high level but a competing interest in the Houston area is the easing of watering rules. Mayor Louie Welch promises a lifting of lawn-watering restrictions if the rains continue. Friday is partly cloudy, and there is a 30-percent chance of thunderstorms in the afternoon. In Washington, D.C., the Senate Finance Committee approved extension of the income tax surtax, but a Senate vote on the bill - -	CC
27249	193955	You cut out, Houston. You cut out.	CMP
27250	193960	Roger. Where do you hold me cutting out? Over.	CC
27251	193966	Houston, Apollo 11.	CMP
27252	193968	Apollo 11, Houston. Over.	CC
27253	194091	Apollo 11, this is Houston. How do you read now? Over.	CC
27254	194097	Loud and clear, Houston. Go ahead.	CMP
27255	194099	Roger.	CC
27256	194100	Start after the rains in Houston.	CMP
27257	194103	Roger. In Washington, the Senate Finance Committee has approved extension of the income tax surtax, but a Senate vote on the bill currently seemed remote. In Austin, State Representative Ray Lemmon of Houston has been nominated as the National Director of the American Society for Oceanography. Lemmon has proposed a study of the possibility of establishing an institute of oceanography in Texas. This would be the first such institute on the western Gulf of Mexico.	CC
27258	194199	In sports, the Houston Oilers are showing plenty of enthusiasm in their early preseason workouts at Kerrville, and Coach Wally Lemm says he is impressed with the fine group of rookies. National League baseball yesterday, Thursday: St. Louis 11, Philadelphia 3; Montreal 5, over Pittsburg 4; Atlanta 12, Cincinnati 2; San Fransciso 14, and Los Angeles 13. American League: we have Baltimore 3, over Cleveland 2; Detroit 4 to Washington's 3; Minnesota 8 to Chicago 5. Boston at New York was rained out. And in Corby, England, an Irishman, John Coyle has won the world's porridge eating championship by consuming 23 bowls of instant oatmeal in a 10-minute time limit from a field of 35 other competitors. Over.	CC
27259	194268	Roger. I assume Houston didn't play yesterday.	CMP
27260	194271	That's correct.	CC
27261	194275	I'd like to enter Aldrin in the oatmeal eating contest next time.	CMP
27262	194280	Is he pretty good at that?	CC
27263	194284	He's doing his share up here.	CMP
27264	194293	Let's see. You all just finished a meal not long ago, too, didn't you?	CC
27265	194300	I'm still eating.	LMP
27266	194304	Okay. Does that - that - -	CC
27267	194307	He's on his - He's on his 19th bowl.	CMP
27268	194310	Roger. Are you having any difficulties with gas in the food bags like the 10 crew reported?	CC
27269	194320	Well, that's intermittently affirmative, Bruce. We have these two hydrogen filters, which work fine as long as you don't hook them up to a food bag. But the entry way into the food bag has enough back pressure to cause the - the filters to start losing their efficiency. A couple of times, I've been tempted to go through that dryout procedure, but we found that simply by leaving the filters alone for a couple of hours, their efficiency seems to be restored.	CMP
27270	194354	Roger. We copy.	CC
27271	194363	Their efficiency ranges anywhere from darn near perfect to terrible just depending on the individual characteristics of the food bags we're putting through them. Some of the food bags are so crimped near the entry-way that there's no way we can work them loose to prevent back pressure.	CMP
27272	194384	Roger.	CC
27273	196332	Apollo 11, this is Houston. Over.	CC
27274	196462	Apollo 11, this is Houston. Over.	CC
27275	196472	Hello, Houston. Go ahead.	CDR
27276	196473	Roger, 11. As you've probably noticed, your coning angle in PTC mode is increased substantially as a result of the waste water dump, the fuel cell purge, and a natural coupling, so it looks like we are going to have to terminate PTC here in a little while. And we'd like to get your feeling as to whether you're still anticipating trying to send back TV signals from inside the LM; and if so, we'll try to provide an attitude that you can hold that'll give us high gain antenna lock on the Earth during the TV and LM activation period. Over.	CC
27277	196518	Yes, we're still planning that activity if the cord lengths work out all right, and we'll accept those attitudes that you work up for us.	CDR
27278	196529	This is Houston. Roger. Out.	CC
27279	196534	When you work up an attitude to get high gain, is there any way that we could get partial Sun in one of the two LM front windows?	LMP
27280	196546	This is Houston. We'll have a look at it.	CC
27281	196754	Apollo 11, this is Houston. Over.	CC
27282	196760	Go ahead, Houston.	CDR
27283	196761	Roger. We have a TV attitude for you if you're ready to copy.	CC
27284	196772	Go ahead. Ready to copy.	CMP
27285	196775	Okay. We recommend stopping PTC at GET of 54 45 00, and this should put you at just about the right roll angle. The attitude we recommend is roll 263, pitch 090, yaw 000. This gives you the Earth out of window number 1 in the command module and places the high gain antenna in the CSM window for TV at your convenience. You will also have the Sun shining in - or shining at the hatch on the LM, and if you take down the window shades you should get some sunlight in. We're recommending wide deadband. Over.	CC
27286	196836	Roger. Thank you, Houston. We'll look at that.	CMP
27287	196841	Roger. Out.	CC
27288	196973	Houston, Apollo 11. When we pass the proper roll angle, we're not going to be anywhere near zero degrees yaw. Do you want us to just stop and try until we find ourselves in and then VERB 49 the three angles you gave us?	CMP
27289	196986	Stand by.	CC
27290	197000	Hello, Apollo 11. Houston. We'd like you to stop at the proper roll angle, then do a VERB 49 to the roll and pitch. Over. Correction, roll and yaw.	CC
27291	197032	Houston, Apollo 11. Over.	CMP
27292	197034	Go ahead, 11. Over.	CC
27293	197052	Hello, Apollo 11. Houston. Do you read? Over.	CC
27294	197060	Houston, Apollo 11. Over.	CMP
27295	197062	Roger, 11. Do you read me? Over.	CC
27296	197078	Hello, Apollo 11. Houston. Over.	CC
27297	197086	Stand by, Charlie. Yes, we'r going to come out of PTC here at 263 roll and then do VERB 49 to thc recommended attitude.	CMP
27298	197098	That sounds fine to us. Ovcr.	CC
27299	197216	Hello, Apollo 11. Houston. Before you open the pressure equalization valve, we'd like the LM/CM DELTA-P. Over.	CC
27300	197226	Okay. Let me check it again. It was about 155.	CMP
27301	197232	Roger.	CC
27302	197234	I read it 158 right now, Charlie.	CMP
27303	197237	Roger. Thank you much.	CC
27304	197391	Houston, Apollo 11. We're stopping PTC at 263 ... 0.	CMP
27305	197399	11, Houston. You're about one-by on this transmission. Say again. Over.	CC
27306	197408	Houston, Apollo 11. Do you read?	CMP
27307	197506	Houston, Apollo 11. How do you read on the high gain?	CMP
27308	197510	11, how do you read me? Over.	CC
27309	197515	Read you loud and clear, Charlie. We just switched to HIGH GAIN, and we stopped PTC at roll 263, pitch 90, yaw 0. How do you read?	CMP
27310	197523	Roger, Mike. You're five-by now on the high gain. We're right between the 0MNI antennas and pretty horrible COMM on the OMNI's. We got you five-by on the high gain, and we copy the PTC stoppage. Over.	CC
27311	197538	Okay, fine.	CMP
27312	197555	Houston, we're going to open the DIRECT O2 valve and start pumping up the cabin.	CMP
27313	197560	Roger. Copy.	CC
27314	197586	Apollo 11, Houston. We're going to hand over to Goldstone for uplink in about 2 minutes. We might have a momentary dropout of COMM. Over.	CC
27315	197596	Alright. Can you hear our master alarm in the background? That's O2 FLOW HIGH coming through this amplifier.	CMP
27316	197607	Roger. Copy.	CC
27317	197617	That photoelectric cell is a good device. It's worked very well.	CMP
27318	197626	11, Houston. Say again. Over.	CC
27319	197630	I say that photoelectric cell amplifier for the master alarm is a good device. It's working very well, and it's a nice pleasing tone.	CMP
27320	197640	Roger. Copy. Thank you.	CC
27321	197648	Makes you almost glad to get master alarms.	CMP
27322	197701	Houston, Apollo 11. As a matter of curiosity, our O2 flow meter is pegged FULL-SCALE HIGH.	CMP
27323	197708	Roger, 11. We copy that here. Over.	CC
27324	197714	Okay.	CMP
27325	197726	Boy, that transducer's working somewhat.	CMP
27326	197732	Roger.	CC
27327	197751	11, Houston. We'd like to try to attempt to correlate your O2 flow in transducer with the flow valve that you've got open. How far - How far open would you say you have the REPRESS O2? 0ver. Correction, the DIRECT O2.	CC
27328	197770	Stand by, Charlie.	CMP
27329	197779	Okay, Charlie. It's not open very far. It's hard to give you a good reading without shunting it again, but the arrow is at about the one o'clock position. Now I reduce the flow, and I'll let it stabilize here. Right now our onboard reading is about 0.4, and that's with the arrow in the O2 valve at the two o'clock position. Would you rather have comparisons of O2 flow readings or would you rather have valve position comparisons?	CMP
27330	197808	Roger. Stand by.	CC
27331	197812	EECOMM's say they'd like to look at valve positions. Over.	CC
27332	197821	Okay. Well, we're holding steady now at 0.3 pound per hour, and our cabin pressure is about 54; and I'll close the valve momentarily and then open it again to this position and tell you how much travel is required.	CMP
27333	197838	Roger.	CC
27334	197849	It's about 30 degrees of travel, Charlie, from the closed position, which is with the arrow pointing at about three to three-thirty, four o'clock.	CMP
27335	197858	Roger.	CC
27336	197867	Our flow is stabilized now at 0.6.	CMP
27337	197875	Roger. We copy. We're reading the same.	CC
27338	197880	Okay.	CMP
27339	197886	Yes, open it back to the one o'clock position.	CMP
27340	197890	Roger.	CC
27341	197911	Is that enough different positions, or you want more, Charlie?	CMP
27342	197916	Mike, that's good - good enough. We're satisfied now. Over.	CC
27343	197922	Okay.	CMP
27344	198122	Houston, Apollo 11. We've terminated direct O2, our cabin pressure is 57, and, as a matter of curiosity, when we turn the DIRECT O2 valve OFF, we get a master alarm just like they did in the spacecraft testing.	CMP
27345	198137	Roger.	CC
27346	198140	11, Houston, we have a little update for you. When you go into the LM, we'd like you to unstow and bring back to the command module the following items. Over.	CC
27347	198155	Ready to copy.	CMP
27348	198156	Roger. We'd like you to pick up the - out of the flight data file, the surface checklist, the mission rules NO-GO card, the DPS, APS, RCS limit cue card. Over.	CC
27349	198274	Apollo 11, Houston. The reason we wanted you to bring those three items back, we'll have some updates for you, for those three. Over.	CC
27350	198285	Roger. We figured you would.	CMP
27351	198598	Apollo 11, Houston. We're getting the TV at Goldstone. We're not quite configured here at Houston for the transmission. We'll be up in a couple of minutes. Over.	CC
27352	198613	Roger. This is just for free. This isn't what we had in mind.	CMP
27353	198617	Roger.	CC
27354	199189	Apollo 11, Houston. It's a pretty good show here. It looks like you almost got the probe out.	CC
27355	199194	Yes, it's loose now.	CMP
27356	199195	Can you see that?	CDR
27357	199198	Roger, Neil. It's really good.	CC
27358	199203	Not much light up in that area, but apparently the TV set's able to pick it up.	CDR
27359	199210	There are some bright spots shining on the probe. Apparently Sun shafting on it that just gets just about enough for us to make it out. Over.	CC
27360	199221	I think those are the tunnel lights.	CDR
27361	199222	...	SC
27362	199224	Oh, Okay. You're right.	CC
27363	199232	Okay. It's loose now. Coming down.	CDR
27364	199235	Roger.	CC
27365	199257	Looks like it's a little bit easier than doing that in the chamber.	CC
27366	199264	You bet. This is the only way ...	CDR
27367	199265	You have to take it easy.	CMP
27368	199266	It's pretty massive, but it goes where you direct it.	CDR
27369	199271	11, Houston. That's a beautiful picture now, we've got. We're looking at a 12-second delay. To us you are just bringing it down by the optics now.	CC
27370	199287	Mike must have done a smooth job in that docking. There isn't a dent or a mark on the probe.	CDR
27371	199293	Roger.	CC
27372	199298	We're really getting a great picture here, 11. Over.	CC
27373	199320	11, Houston. With a 12-foot cable, we estimate you should have about 5 to 6 feet excess when you get the camera into the LM. Over.	CC
27374	199331	Roger.	CDR
27375	199334	We can see the probe now. Correction, the drogue.	CC
27376	199342	Roger.	CDR
27377	199384	Okay. Drogue removal's coming next.	CDR
27378	199386	Roger. As we suspected.	CC
27379	199447	11, Houston. Now it's a good view of the storage area under the couch.	CC
27380	199475	11, Houston. Looks like you're pretty crowded in there with that drogue. Over.	CC
27381	199483	Oh, it's not really bad.	CDR
27382	199484	This TV cable is getting in the way.	CMP
27383	199494	We see lots of arms.	CC
27384	199520	The only problem, Charlie, is these TV stagehands don't know where they stand.	LMP
27385	199527	Well, you got to really have a union card, there. We can't really complain too much, I guess.	CC
27386	199588	Apollo 11, Houston. Do you have a little white dot in the bottom of your monitor - TV monitor? Over.	CC
27387	199599	Roger. We do.	LMP
27388	199601	Roger. I guess part of the camera's been burnt out down there. These are really beautiful pictures now, Buzz. Over. Real clear.	CC
27389	199616	Okay. We might have got just a little bit of Sun in there. Is it just one small white dot?	LMP
27390	199621	That's affirmative.	CC
27391	199662	We went up in the tunnel checking the roll angle, Charlie, and it's 2.05 degrees.	CMP
27392	199668	Roger. Copy. 2.05 on the roll CAL.	CC
27393	199675	And that's a plus.	CMP
27394	199677	Roger. Plus.	CC
27395	199725	11, Houston. The tunnel looks pretty clear to us. Somebody going up there now. Over.	CC
27396	199733	It's Mike checking his connectors up there now.	CDR
27397	199740	Roger.	CC
27398	199748	11, Houston. The lighting up in there looks very good to us at this time. Over.	CC
27399	199762	I think that's mostly the camera. It - it's subdued to say the least.	CDR
27400	199770	Roger. It's pretty - It's gathering pretty well to us. We see everything quite clearly up in there.	CC
27401	199805	Well, the docking latches look good today just like they did yesterday. Everything up in there looks just fine.	CMP
27402	199812	That sounds fine to us. Over.	CC
27403	199845	11, Houston. We can even read the decals up there on the LM hatch.	CC
27404	199853	Well, let me zoom it up and see how much you can read.	LMP
27405	199857	Okay.	CC
27406	199871	We can see the LM umbilical connection quite well there, Buzz. We see you zooming in on one of the decals now. It's, "To reset, unlatch handle; latch behind grip and pull back two full strokes." That's about all we can make out.	CC
27407	199895	Hey, you get an A-plus.	LMP
27408	199897	Thank you very much, sir. At least I passed my eye test.	CC
27409	199906	I'm standing 6 feet from it, Charlie, and you can read it better than I can. There's something wrong with the system.	LMP
27410	199914	Roger.	CC
27411	199988	That's a real good view of the LM hatch handle there, 11. 0ver.	CC
27412	199996	Roger.	CDR
27413	200004	Looks like we'll be ready to go into the LM early if that's okay with you all down there.	CDR
27414	200014	Roger. It's fine with us, Neil. Go ahead anytime you wish. Over.	CC
27415	200037	11, Houston. The white spot you see on your monitor, our TV people say it is a burn spot; but they expect it to dissipate after a couple of hours. Over.	CC
27416	200054	Roger. Thank you.	LMP
27417	200123	Okay, the dump valve is actuated.	CMP
27418	200126	Roger. Copy, 11. We see that very clearly. Is that you, Buzz, with your hand on it?	CC
27419	200133	Yes.	CMP
27420	200134	Roger.	LMP
27421	200170	11, Houston. We're really amazed at the quality of the picture up in the tunnel. It's really superb. Over.	CC
27422	200178	It is, considering the amount of light up in there.	LMP
27423	200180	Roger. We're about to open our hatch now.	CMP
27424	200183	Roger.	CC
27425	200192	Roger. There's that same guy that, when you open up the door, why, he's waiting there for you, and he turns the lights on.	CMP
27426	200198	How about that. Just like the refrigerator.	CC
27427	200228	Buzz, the view in through your - by your right - left shoulder there is so good we can see the ascent engine cover, the Velcro on it, and that's about all we can make out right now.	CC
27428	200247	Now we can see the helmet stowage bag - -	CC
27429	200248	We don't see anything loose up there.	LMP
27430	200250	Well, great. Looks good to us. We see the helmet storage bag.	CC
27431	200273	Hello, 11. Houston. We got a view of the PLSS there, off the right of our screen.	CC
27432	200315	11, Houston. Buzz, you already in? Over.	CC
27433	200322	Roger. I'm halfway in, hanging out. Start turning around, I guess.	LMP
27434	200326	Roger.	CC
27435	200354	Apollo 11, Houston. We'd like you to read out the LCG reservoir sight level. Over.	CC
27436	200367	Okay. Stand by.	CMP
27437	200390	11, we have a good view of the window there. It looks like the Sun's finally coming through the shade.	CC
27438	200400	Yes, I'm afraid it's - We're just about plus Z toward the Sun.	LMP
27439	200405	That's affirmative. This attitude put both windows right toward the Sun - or the LM. Over.	CC
27440	200415	Well, that may be good in some respects, but -	LMP
27441	200422	We had a view, Buzz, of the utility light cord. ...	CC
27442	200431	Now let me show you a view looking the other way.	LMP
27443	200433	Roger. And we see right now the utility light or either the floodlight up there.	CC
27444	200445	I think now I see the utility light still in the stowage bag. Hey, that's a great shot right there. We see you in there. Guess that's Neil and Mike. Better be, anyway.	CC
27445	200473	We see you waving.	CC
27446	200493	11, Houston. That's really a beautiful shot.	CC
27447	200506	11, Houston. We didn't quite decipher that signal that just came from the CMP.	CC
27448	200515	Just saying hello. On the LCG sight gage, you got about - oh, it looks like the white mark that's in the plunger is about a quarter to three-eighths inch out into the green away from the red. Is that what you'd like to see? Over.	LMP
27449	200538	Stand by. Roger, Buzz. That looks good to us. Thank you much.	CC
27450	200548	It is the white index, is it not, that you're interested in comparing whether it's in the red or green?	LMP
27451	200554	Stand by. That's affirmative, Buzz. It looks good. That's a good reading for us. Over.	CC
27452	200562	Okay.	LMP
27453	200566	We had a shot moment - a moment ago of the suit disconnect valve.	CC
27454	200578	I'll open up the windows and see what the lighting condition's going to be like.	LMP
27455	200604	11, Houston. That's a real good view we have of the AOT. You're back now, Buzz, and notice you're taking down one of the window shades. Over.	CC
27456	200616	The light is superb.	CC
27457	200617	How's the Sun coming in? How's the Sun coming in from this direction going to affect what you can see?	LMP
27458	200624	It made it really super. The lighting is excellent in the - in the LM right now. We can make out the AOT, the ISA, and the left-hand window - there's a little glare off of that, but the LMPside the - with the shade down it's really excellent. Over.	CC
27459	200648	Well, let's - I'm turned around, why I took the shade off my side first.	LMP
27460	200656	Roger. We copy. The light level for the TV is really excellent. Over.	CC
27461	200669	Yes, the lighting in the LM is very nice now, just like completely daylight; and everything is visible. A good bit lighter than the tunnel was earlier.	CDR
27462	200683	Roger. We got a good view now, Neil, of the DEDA; and also Buzz's ACA.	CC
27463	200705	Hey, I'm pointing it at the front hatch now. Everything seems to be in place down there.	LMP
27464	200711	Roger, we got the dump valves in view. Over.	CC
27465	200713	Roger.	LMP
27466	200744	11, Houston. We see you removing the ISA now, folding it up, putting it up on the AOT. The instrument panels are coming into view behind.	CC
27467	200758	Yes, I think it'd probably be best, since we've done SPS burn, to put it back over the instrument panel instead of putting it up over the PLSS on the recharge station. Would you care to comment on that one? We could do either just as easily.	LMP
27468	200772	Stand by. We'll have an answer for you momentarily.	CC
27469	200778	11, Houston. That's really a super shot of the main display.	CC
27470	200819	The vehicle is surprisingly free of any debris floating around. It's very clean.	LMP
27471	200824	Roger.	CC
27472	200837	11, Houston. It's pretty hard to describe this view. It's really - really great.	CC
27473	200843	Now you know how we feel.	LMP
27474	200850	Okay. Neil's OPS is about 57, 5800.	LMP
27475	200855	Copy.	CC
27476	200856	And mine's about 5800, also.	LMP
27477	200859	Copy.	CC
27478	200884	11, Houston. That's a good shot of Neil's PLSS, there. Over.	CC
27479	200896	No, that's mine.	LMP
27480	200920	11, Houston. That moment - a moment ago, we had a good shot of your PLSS, Buzz, and the two helmet stowage bags. Down behind your left shoulder, Buzz, we have the - the DSKY and the ACA.	CC
27481	201001	We're going to go ahead and take all the Moon data on back into the command module, Charlie.	LMP
27482	201007	Roger.	CC
27483	201058	Apollo 11, Houston. Buzz, it appears that you're intending to put on the Sun filter and view the Sun through the AOT. Over.	CC
27484	201069	Yes, unfortunately it looks like it's down a little bit more towards ... than I can be able to see in the AOT.	LMP
27485	201077	Roger.	CC
27486	201135	We got a beautiful view of the side of the command module out of the AOT looking in the left rear detent.	LMP
27487	201143	Roger.	CC
27488	201144	I can see the hatch and all the - all the EVA handrails. First time we've seen the silvery outside of the command module.	LMP
27489	201160	I can read the letters on the hatch cover. It's a boost cover release; and the big yellow arrow that points toward the opening - place where the tool B goes.	LMP
27490	201175	Roger. Great shot now back down into the -	CC
27491	201181	And left on the - -	CMP
27492	201184	Go ahead, Buzz. Over.	CC
27493	201187	Say again.	LMP
27494	201188	I was just saying we got a great shot looking back into the command module.	CC
27495	201194	Okay. And the left detent, I can see the AO - or the rendezvous radar, and I move to the forward detent and that's about all I've got. I'm looking eyeball to eyeball.	LMP
27496	201205	Roger.	CC
27497	201248	Charlie, is there any concern about the duration that we ought to have the window shades open?	LMP
27498	201254	Stand by.	CC
27499	201257	We don't have - We don't have any circulation in here, and it might get a little on the warm side.	LMP
27500	201263	Roger.	CC
27501	201270	We'll - We'll put up a couple of hoses in the command module here and get a little circulation going.	CMP
27502	201276	Sounds like a good idea. Over.	CC
27503	201304	Apollo 11, Houston. As far as the window shades go in this LM, there's nothing except for crew comfort. I don't think we've got any systems problem. Be sure to put them back up when you egress. Over.	CC
27504	201317	That we will do.	LMP
27505	201352	Charlie, I'll give you a view out of the overhead window, back looking at the command module right-hand rendezvous window.	LMP
27506	201361	Roger.	CC
27507	201379	Well, we see it now. Thanks a lot, Buzz. That's a good view through the overhead.	CC
27508	201392	One washer on -	LMP
27509	201398	One washer's on by the overhead.	LMP
27510	201402	Roger.	CC
27511	201409	There we go. We got it now.	CC
27512	201418	There wasn't very much debris in the command module or the LM. We found very few loose particles of bolts, nuts, and screws and lint and things. Very few in each spacecraft. They were very clean.	LMP
27513	201434	Roger. Sounds good.	CC
27514	201465	11, Houston. We have a good view out of the rendezvous - correction, the overhead window of the LM. We don't see anybody staring back at us, though. Over.	CC
27515	201543	Charlie, can you see Mike's two eyeballs staring out through the rendezvous window?	LMP
27516	201551	11, Houston. Stand by. We haven't picked him up yet.	CC
27517	201562	You are looking through a lot of layers of glass.	LMP
27518	201578	11, Houston. We had a - -	CC
27519	201580	... on my monitor.	LMP
27520	201581	We had a slight glimpse of Mike in the rendezvous window at that time. It's pretty murky looking into there, though.	CC
27521	201588	Okay. Here he is; I've got him. I've got, him on the monitor now.	LMP
27522	201595	Okay. We see him staring back at us now. Hello, in there.	CC
27523	201628	Apollo 11, Houston. Our recommendation for the ISA is to stow it back over the instrument panel. Over.	CC
27524	201642	Roger. Will do.	LMP
27525	201716	11, Houston. We can make out the markings on the panel. We read SYSTEM A ASCENT FUEL, ASCENT OXIDIZER. Quad 1, quad 4. The - It's really unbelievable, the definition we're getting down here off that little camera. Over.	CC
27526	201734	We can even see the barber pole on the talkbacks.	CC
27527	201744	We can read the markings on the instruments for the glycol pressure, quantity, PCO2. You can even read the scale on the eight ball. Over.	CC
27528	201778	11, Houston. We see the cross-feed barber pole, and we have the Velcro patches back up to the RCS systems now. We can see the markings on the meters, green and red bands, in limits.	CC
27529	201807	We see you raised the cover on the abort stage. We don't recommend that.	CC
27530	201814	Yes. We're going to tape that one over.	LMP
27531	201815	Roger.	CC
27532	201816	We're going to tape that one over.	LMP
27533	201817	We concur.	CC
27534	201824	The restraints in here do a pretty good job of pulling my pants down.	LMP
27535	201833	Roger. We haven't quite got that before the 50,000,000 TV audience, yet.	CC
27536	201857	11, Houston. That's a good view of the eight ball. We see - You can even read the OFF flag, there.	CC
27537	201870	You can see the signal strength meter for the radar, read the numbers on it.	CC
27538	201894	Houston, did you want us to test the cameras in the LM and - I was wondering about that. I saw it in the flight plan, but I'm just wondering if you want to do that on CSM power, or do you want us to take both of the 16mm cameras back in the CSM and test them there? Over.	LMP
27539	201918	Stand by, Buzz.	CC
27540	201921	As an alternative to that, why, we could wait LOI day and do it then when we transfer over to LM power.	LMP
27541	201932	Roger. Stand by. We'll have an answer.	CC
27542	201947	11, Houston. On that TV, our commentary - The monitor I was looking at was delayed about 12 seconds, 12 to 15 seconds while it went through our color converter. It was probably - You thought I was crazy, but we were looking at it 15 seconds after you broadcast it. 11, Houston - -	CC
27543	201966	We understood that, Charlie.	LMP
27544	201968	Okay. On the LM cameras, we'd like you to do it on LOI day with the LM power. Over.	CC
27545	201979	Okay. That's what we'll do.	LMP
27546	202036	Houston, we're showing you something that came out of the Commander's checklist stowage packet. It's got a 16-millimeter camera in it, and it's got this little cylinder; and I guess - I don't understand what it is. Maybe you can tell us.	LMP
27547	202055	Roger. Stand by. We can't figure it out either.	CC
27548	202066	It's got an arrow on the back, and it says "turn," but I'm afraid to turn it.	LMP
27549	202076	11, your friendly geologist says it's the camera cank- crank, excuse me, for the 16-sequence camera if it jams. Over.	CC
27550	202090	All very well. Thank you.	LMP
27551	202108	There's that word again. The ancillary stowage container.	LMP
27552	202115	Roger.	CC
27553	202150	The shades couldn't quite hack it, there, Buzz. Over.	CC
27554	202191	Houston, 11. Are you still getting high bit rate off the OMNI's at this distance?	CMP
27555	202196	Stand by, Mike.	CC
27556	202207	Apollo 11, Houston. About 50 percent of the time, we're getting high bit rate off the OMNI's when you're in PTC. Over.	CC
27557	202217	Okay. Thank you.	CMP
27558	202219	You're welcome.	CC
27559	202284	Apollo 11, Houston. Neil, at this attitude you look like you're about 12 feet long.	CC
27560	202294	It seems like I always find myself upside-down in whatever I'm doing around here.	CDR
27561	202349	Apollo 11, Houston. Could you give us a few comments on your crew comfort with the CSM hoses moving the air around? Over.	CC
27562	202362	Well, it's picking up a little bit on circulation in here.	LMP
27563	202367	What do you estimate the temperature is, Buzz? Over.	CC
27564	202377	Oh, I'd say maybe 73, 75.	LMP
27565	202382	Roger.	CC
27566	202386	It's hard to tell at this density and pressure of gas, but comfort level is about the - about the same as the command module.	LMP
27567	202400	You probably - -	CC
27568	202401	It was a little warmer or stuffier when we first got in, but it seems to be improving.	LMP
27569	202407	Houston copies. Out.	CC
27570	202468	11, Houston.	CC
27571	202469	You may be able to see some - -	LMP
27572	202471	Go ahead.	CC
27573	202472	- - some particles jumping around on your screen. That's just dust particles that are being illuminated by Sun shafting in the window.	LMP
27574	202482	Roger. They're very clear now. Over. And that's a good view of Neil's - correction, of Buzz's circuit breaker panel, there.	CC
27575	202550	I can just barely see the handrail on the front porch from the position on the right-hand window.	LMP
27576	202559	Roger.	CC
27577	202575	11, Houston. Our view of the Panel 11 is - gets brighter, then darker. Are you changing the f-stop at all? Over.	CC
27578	202592	No, what's happening is, we get pretty close to the window now and then, and it drives the automatic light control into the stop, I think.	LMP
27579	202602	I think that's right.	CC
27580	202611	Yes, I had the switch on OUTSIDE while I was going through the overhead window. That may be what's contributing to some of it.	LMP
27581	202618	Roger.	CC
27582	202625	11, Houston. We seem to be picking up a few more dust particles now. We see them quite clearly in the screen now. Over.	CC
27583	202637	Yes, I'm choking on one every so often.	LMP
27584	202661	11, Houston. Your show is going out to the U.S. now. We're about to get the satellite up. It'll be transmitted to some other countries after that. Over.	CC
27585	202678	Roger. I'm checking out this window bracket where I'll be putting it for the EVA pictures of Neil going down the ladder.	LMP
27586	202688	Roger.	CC
27587	202697	Apollo 11, Houston. We keep marveling about the color and the clarity of the picture. It's really difficult to describe. It's - It's just perfect. Over.	CC
27588	202711	And, 11, it doesn't look like you're having too much trouble with that bracket up there, Buzz.	CC
27589	202721	I'll tell you, those new knobs really make it easy to twist the thing and get it cinched down quite tight.	LMP
27590	202730	Roger.	CC
27591	202806	11, Houston. Buzz, how does the alignment look, there?	CC
27592	202813	It looks pretty good, as well as I can tell without the gear extended. I can't get a real definitive answer, but you couldn't fix it any place to see much more out of the window without hand-holding it for the whole time.	LMP
27593	202829	Roger. Looks like to us it's going to work real well.	CC
27594	202831	Give it enough room to - Yes, I think so.	LMP
27595	202862	Buzz, we see you putting your window guard in place there, and back up to the ISA now.	CC
27596	202919	Houston, ask FAO if the 90-degree bracket isn't stowed in the Commander's stowage assembly.	LMP
27597	202929	Stand by.	CC
27598	203015	11, Houston. Buzz, you still looking for that 90-degree bracket? Over.	CC
27599	203025	Yes, he is looking for it now.	CDR
27600	203027	Roger. We'll have a word for you in just a moment.	CC
27601	203068	Our monitor shows pretty good, clear pictures from this angle. I already found the 90-degree bracket.	CDR
27602	203077	Roger, Neil. It's really a super picture. We've got the ACA, your ACA, the picture of the throttle, the 90-degree bracket. We see your handles, and now over to the bracket.	CC
27603	203125	That's about the position we'll be putting the camera in after the initial descent on the ladder, and it'll be taken 1 frame a second for most of the EVA.	LMP
27604	203140	Houston copies. Out. That's a real good view of that camera.	CC
27605	203163	Our monitor is a little bit wavy, so it's hard for us to tell when we're - when we've got a steady picture for you.	LMP
27606	203171	11, we have no complaints at all. We don't see that waviness on our picture. It's just really great. Over.	CC
27607	203179	Do the edges of the window look like straight lines to you?	LMP
27608	203182	That's affirmative.	CC
27609	203186	Okay. They don't in our monitor, and that leads us to make some corrections to the camera, which probably aren't required sometimes.	LMP
27610	203199	Buzz, we have no complaints at all. It's a magnificent picture.	CC
27611	203269	What was that, Buzz, you're chasing now?	CC
